Date,Open,High,Low,Close,Volume
1986-03-13,0.05500425362602275,0.06309318741978256,0.05500425362602275,0.0603964626789093,1031788800
1986-03-14,0.06039646254084975,0.06363240817961467,0.06039646254084975,0.06255334615707397,308160000
1986-03-17,0.06255332965530394,0.06417161215499254,0.06255332965530394,0.06363239139318466,133171200
1986-03-18,0.06363240821503023,0.0641716291193864,0.06147490438317664,0.062014125287532806,67766400
1986-03-19,0.06201411019351266,0.06255333096662435,0.060396447874177576,0.060935668647289276,47894400
1986-03-20,0.06093567600387717,0.06093567600387717,0.0587787926510361,0.05931801348924637,58435200
1986-03-21,0.05931800573315662,0.06039644726856618,0.056621901894632704,0.05770034343004227,59990400
1986-03-24,0.05770035078120787,0.05770035078120787,0.05554346743559653,0.05608268827199936,65289600
1986-03-25,0.05608269199203199,0.057161133736372,0.055543471119861985,0.057161133736371994,32083200
1986-03-26,0.0571611373514684,0.059318020976558264,0.05662191644519592,0.0587788000702858,22752000
1986-03-27,0.05877878170728614,0.059857223182916634,0.05877878170728614,0.05985722318291664,16848000
1986-03-31,0.05985723432745664,0.05985723432745664,0.05823957181282584,0.05931801348924637,12873600
1986-04-01,0.059318020976558264,0.059318020976558264,0.0587788000702858,0.0587788000702858,11088000
1986-04-02,0.0587787926510361,0.060396455165666905,0.0587787926510361,0.05931801348924637,27014400
1986-04-03,0.059857223182916634,0.06147488539636238,0.059857223182916634,0.05985722318291664,23040000
1986-04-04,0.059857223182916634,0.06039644392073189,0.059857223182916634,0.05985722318291664,26582400
1986-04-07,0.05985724188283074,0.060396462789103204,0.057700358257740864,0.0587788000702858,16560000
1986-04-08,0.0587787926510361,0.060396455165666905,0.0587787926510361,0.05931801348924637,10252800
1986-04-09,0.059318020868331996,0.06093568358419796,0.059318020868331996,0.0603964626789093,12153600
1986-04-10,0.060396447874177576,0.06147488942040097,0.05931800632795419,0.060935668647289276,13881600
1986-04-11,0.06147490438317664,0.06309318731067406,0.06147490438317664,0.062014125287532806,17222400
1986-04-14,0.06201412525301792,0.06309318727555861,0.06201412525301792,0.06255334615707397,12153600
1986-04-15,0.06255334615707397,0.06255334615707397,0.06039646254084975,0.06255334615707397,9302400
1986-04-16,0.06255333706575988,0.06525006140853493,0.06201411624007256,0.0647108405828476,31910400
